en,id,jv,su,formal_id
on,pada,ing,dina,pada
,berbeda,,,berbeda
,dua,loro,dua,dua
later,nanti,mengko,engké,nanti
,tadi,,,tadi
want,dingin,,,dingin
why,mengapa,ngapa,naha,mengapa
,rendah,cendhek,handap,rendah
want,ingin,,,ingin
,baru,anyar,anyar,baru
,ternyata,,,ternyata
,tentu,,,tentu
,menuju,,,menuju
,tinggi,dhuwur,luhur,tinggi
,dulu,,,dulu
,tersebut,,,tersebut
,berikut,,,berikut
,agar,,,agar
,malam,bengi,wengi,malam
,sulit,angel,hese,sulit
,tua,tuwa,sepuh,tua
very,sangat,banget,pisan,sangat
on,kepada,,,kepada
second,detik,,,detik
year,tahun,,,tahun
,lebar,,,lebar
but,tetapi,nanging,tapi,tetapi
,hendak,,,hendak
quite,agak,,,agak
,sore,sore,sonten,sore
,dua belas,,,dua belas
,triliun,,,triliun
again,apalagi,,,apalagi
how many,berapa,pira,sabaraha,berapa
from,dari,saka,ti,dari
,miliar,,,miliar
being,sedang,lagi,nuju,sedang
already,mudah,gampang,gampil,mudah
like,seperti,,,seperti
,tujuh,pitu,tujuh,tujuh
still,masih,isih,masih,masih
,bagi,,,bagi
,mesti,,,mesti
,buruk,ala,awon,buruk
,cuma,,,cuma
already,sudah,wis,parantos,sudah
,lama,lawas,lami,lama
,besar,gedhe,ageung,besar
,dahulu,,,dahulu
,sehingga,,,sehingga
,maka,,,maka
also,pula,,,pula
bad,jelek,elek,awon,jelek
,barangkali,,,barangkali
,isya,,,isya
month,bulan,,,bulan
,mungkin,,,mungkin
,namun,,,namun
,yakni,,,yakni
,sepuluh,sepuluh,sapuluh,sepuluh
,terhadap,,,terhadap
for,untuk,kanggo,pikeun,untuk
,diri,,,diri
,semua,kabeh,sadaya,semua
,juta,,,juta
minute,menit,,,menit
,pertama,,,pertama
how,gimana,,,gimana
do not,jangan,,,jangan
,sembilan,sanga,salapan,sembilan
,kecil,cilik,alit,kecil
,bahkan,,,bahkan
,cepat,cepet,gancang,cepat
what,delapan,wolu,dalapan,delapan
not yet,belum,durung,can,belum
,justru,,,justru
he,kemudian,,,kemudian
,jadi,,,jadi
if,jika,yen,lamun,jika
,subuh,,,subuh
we,kami,awake,kami,kami
almost,hampir,,,hampir
,pagi,esuk,isuk,pagi
not,tidak ada,ora ana,teu aya,tidak ada
good,bagus,apik,saé,bagus
can,dapat,,,dapat
day,hari,dina,dinten,hari
,lambat,alon,laun,lambat
,supaya,,,supaya
thus,demikian,,,demikian
this,kini,,,kini
week,minggu,,,minggu
just,saja,,,saja
not,bukan,dudu,sanés,bukan
,enam,enem,genep,enam
,empat,papat,opat,empat
tomorrow,besok,sesuk,isukan,besok
how,bagaimana,piye,kumaha,bagaimana
yesterday,kemarin,wingi,kamari,kemarin
,puluh,,,puluh
,beliau,piyambakipun,anjeunna,beliau
i,saya,aku,abdi,saya
because,karena,merga,sabab,karena
,lain,,,lain
like,sepertinya,,,sepertinya
which,yang,sing,nu,yang
less,kurang,,,kurang
,muda,enom,ngora,muda
you,kamu,kowe,anjeun,kamu
,banyak,akeh,seueur,banyak
like this,begini,kaya ngene,kieu,begini
,kedua,,,kedua
ever,pernah,,,pernah
what,seberapa,,,seberapa
,lalu,,,lalu
mother,ribu,,,ribu
enough,cukup,,,cukup
like,kayak,,,kayak
like that,begitu,,,begitu
,macam,,,macam
like,kaya,,,kaya
,bener,,,bener
like this,gini,,,gini
like that,gitu,,,gitu
like this,begini,,,begini
indeed,emang,,,emang
lmfao,,,,laugh my f ass off
rotfl,,,,rolling on the floor laughing
gtg,,,,got to go
bff,,,,best friends forever
afaik,,,,as far as i know
ftw,,,,for the win
smh,,,,shaking my head
tmi,,,,too much information
yolo,,,,you only live once
fomo,,,,fear of missing out
tbf,,,,to be fair
afk,,,,away from keyboard
g2g,,,,got to go
cya,,,,see you
thx,,,,thanks
np,,,,no problem
ur,,,,your
pls,,,,please
plz,,,,please
msg,,,,message
txt,,,,text
pic,,,,picture
vid,,,,video
app,,,,application
tech,,,,technology
info,,,,information
admin,,,,administrator
mod,,,,moderator
dev,,,,developer
beta,,,,beta
alpha,,,,alpha
demo,,,,demonstration
promo,,,,promotion
sale,,,,sale
deal,,,,deal
offer,,,,offer
free,,,,free
premium,,,,premium
pro,,,,professional
lite,,,,light
mini,,,,mini
max,,,,maximum
plus,,,,plus
extra,,,,extra
super,,,,super
mega,,,,mega
ultra,,,,ultra
,ygy,,,ya guys ya
already,yaudah,,,ya sudah
already,yaudeh,,,ya sudah
already,yauda,,,ya sudah
already,yasud,,,ya sudah
already,yasudah,,,ya sudah
already,yawes,,,ya sudah
already,yowes,,,ya sudah
,pokoke,,,pokoknya
,pokokna,,,pokoknya
,intina,,,intinya
,sebenerna,,,sebenarnya
will,makana,,,makanya
,jadina,,,jadinya
,terusna,,,terusnya
again,lagian,,,lagian
again,lagina,,,lagian
,soalna,,,soalnya
on,padahal,,,padahal
,rupana,,,rupanya
like,kayaknya,,,sepertinya
like,kayakna,,,sepertinya
like,keknya,,,sepertinya
,mgkn,,,mungkin
,brangkali,,,barangkali
what,siapa tau,,,siapa tahu
what,sapa tau,,,siapa tahu
just,kali aja,,,kali saja
just,kali aj,,,kali saja
already,mudah2an,,,mudah-mudahan
already,mudahan,,,mudah-mudahan
,semoga,,,semoga
,smoga,,,semoga
,wallahu alam,,,wallahu alam
,wallahualam,,,wallahu alam
you,kowe,kowe,,kamu
he,dheweke,dheweke,,dia
you,awakmu,awakmu,,kamu
he,awakne,awakne,,dia
this,iki,iki,,ini
that,iku,iku,,itu
this,kene,kene,,sini
,kono,kono,,sana
where,ngendi,ngendi,,dimana
how,piye,piye,,bagaimana
why,ngapa,ngapa,,kenapa
at,ning,ning,,di
at,nang,nang,,di
to,menyang,menyang,,ke
from,saka,saka,,dari
for,kanggo,kanggo,,untuk
with,karo,karo,,dengan
and,lan,lan,,dan
or,utawa,utawa,,atau
but,nanging,nanging,,tetapi
because,merga,merga,,karena
if,yen,yen,,jika
when,nalika,nalika,,ketika
will,arep,arep,,akan
already,wis,wis,,sudah
still,isih,isih,,masih
not yet,durung,durung,,belum
not,ora,ora,,tidak
not,dudu,dudu,,bukan
,ana,ana,,ada
not,ora ana,ora ana,,tidak ada
,kabeh,kabeh,,semua
,akeh,akeh,,banyak
,sithik,sithik,,sedikit
good,apik,apik,,bagus
bad,elek,elek,,jelek
,gedhe,gedhe,,besar
,cilik,cilik,,kecil
,dawa,dawa,,panjang
,cendhak,cendhak,,pendek
,dhuwur,dhuwur,,tinggi
,cendhek,cendhek,,rendah
,anyar,anyar,,baru
,lawas,lawas,,lama
,enom,enom,,muda
,tuwa,tuwa,,tua
,cepet,cepet,,cepat
,alon,alon,,lambat
,angel,angel,,sulit
now,saiki,saiki,,sekarang
later,mengko,mengko,,nanti
yesterday,wingi,wingi,,kemarin
tomorrow,sesuk,sesuk,,besok
,esuk,esuk,,pagi
,awan,awan,,siang
,sore,sore,,sore
,bengi,bengi,,malam
,siji,siji,,satu
,loro,loro,,dua
,telu,telu,,tiga
,papat,papat,,empat
,lima,lima,,lima
,enem,enem,,enam
,pitu,pitu,,tujuh
what,wolu,wolu,,delapan
,sanga,sanga,,sembilan
,sepuluh,sepuluh,,sepuluh
i,abdi,,abdi,saya
you,anjeun,,anjeun,kamu
he,anjeunna,,anjeunna,dia
we,urang,,urang,kita
they,aranjeunna,,aranjeunna,mereka
this,ieu,,ieu,ini
that,eta,,eta,itu
this,dieu,,dieu,sini
,dinya,,dinya,sana
how,kumaha,,kumaha,bagaimana
what,naon,,naon,apa
who,saha,,saha,siapa
when,iraha,,iraha,kapan
why,naha,,naha,kenapa
which,nu,,nu,yang
and,jeung,,jeung,dan
or,atawa,,atawa,atau
but,tapi,,tapi,tetapi
because,sabab,,sabab,karena
if,lamun,,lamun,jika
to,ka,,ka,ke
from,ti,,ti,dari
for,pikeun,,pikeun,untuk
with,sareng,,sareng,dengan
on,dina,,dina,pada
will,bade,,bade,akan
already,parantos,,parantos,sudah
being,nuju,,nuju,sedang
not yet,can,,can,belum
not,henteu,,henteu,tidak
not,sanés,,sanés,bukan
,aya,,aya,ada
not,teu aya,,teu aya,tidak ada
,sadaya,,sadaya,semua
,seueur,,seueur,banyak
,saeutik,,saeutik,sedikit
very,pisan,,pisan,sangat
good,saé,,saé,bagus
bad,awon,,awon,jelek
,ageung,,ageung,besar
,alit,,alit,kecil
,pondok,,pondok,pendek
,luhur,,luhur,tinggi
,handap,,handap,rendah
,lami,,lami,lama
,ngora,,ngora,muda
,sepuh,,sepuh,tua
,gancang,,gancang,cepat
,laun,,laun,lambat
already,gampil,,gampil,mudah
,hese,,hese,sulit
now,ayeuna,,ayeuna,sekarang
later,engké,,engké,nanti
yesterday,kamari,,kamari,kemarin
tomorrow,isukan,,isukan,besok
day,dinten,,dinten,hari
,isuk,,isuk,pagi
,siang,,siang,siang
,sonten,,sonten,sore
,wengi,,wengi,malam
,hiji,,hiji,satu
,dua,,dua,dua
,tilu,,tilu,tiga
,opat,,opat,empat
,genep,,genep,enam
,tujuh,,tujuh,tujuh
what,dalapan,,dalapan,delapan
,salapan,,salapan,sembilan
,sapuluh,,sapuluh,sepuluh
great,mantul,,,mantap betul
great,mantep,,,mantap
cool,kece,,,keren
cool,kereen,,,keren
cool,kereeen,,,keren
,gila,,,gila
,anjrit,,,wow
,busyet,,,wow
,santai,,,santai
,slow,,,pelan
,sabar,,,sabar
,tenang,,,tenang
,kalem,,,tenang
cool,cool,,,keren
,asik,,,asik
,asyik,,,asik
,seru,,,seru
,lucu,,,lucu
,ngakak,,,tertawa
,ketawa,,,tertawa
,tertawa,,,tertawa
not yet,belom,,,belum
not yet,blom,,,belum
like that,gitu,,,begitu
like this,gini,,,begini
we,kmi,,,kami
but,tp,,,tetapi
not yet,blm,,,belum
now,skrang,,,sekarang
later,ntar,,,nanti
later,tar,,,nanti
day,hr,,,hari
how,gimana,,,bagaimana
where,dmana,,,dimana
what,apaan,,,apa
what,apain,,,apa
when,kpan,,,kapan
great,mantap,,,mantap
cool,keren,,,keren
good,bagus,,,bagus
bad,jelek,,,jelek
,siap,,,siap
,ready,,,siap
,done,,,selesai
,finish,,,selesai
,selesai,,,selesai
,beres,,,selesai
,clear,,,jelas
,jelas,,,jelas
,paham,,,paham
,ngerti,,,mengerti
,mengerti,,,mengerti
,tau,,,tahu
,tahu,,,tahu
,kenal,,,kenal
,familiar,,,kenal
,asing,,,asing
,aneh,,,aneh
,weird,,,aneh
,strange,,,aneh
,normal,,,normal
,biasa,,,biasa
,usual,,,biasa
,special,,,khusus
,khusus,,,khusus
,istimewa,,,istimewa
,unik,,,unik
,unique,,,unik
,rare,,,langka
,langka,,,langka
rarely,jarang,,,jarang
not,never,,,tidak pernah
,maybe,,,mungkin
,perhaps,,,mungkin
,probably,,,mungkin
,definitely,,,pasti
,sure,,,yakin
,yakin,,,yakin
,doubt,,,ragu
,ragu,,,ragu
,bingung,,,bingung
,confused,,,bingung
,obvious,,,jelas
,simple,,,sederhana
,sederhana,,,sederhana
,complex,,,rumit
,rumit,,,rumit
,complicated,,,rumit
already,easy,,,mudah
,difficult,,,sulit
,hard,,,sulit
,soft,,,lembut
,lembut,,,lembut
,rough,,,kasar
,smooth,,,halus
,fast,,,cepat
,quick,,,cepat
,slow,,,lambat
,hot,,,panas
want,cold,,,dingin
,warm,,,hangat
,cool,,,sejuk
,wet,,,basah
,dry,,,kering
,clean,,,bersih
,dirty,,,kotor
,fresh,,,segar
,segar,,,segar
,old,,,lama
,new,,,baru
,young,,,muda
,old,,,tua
,big,,,besar
,small,,,kecil
,tiny,,,kecil
,huge,,,besar
,large,,,besar
,long,,,panjang
,short,,,pendek
,tall,,,tinggi
,low,,,rendah
,high,,,tinggi
,wide,,,lebar
,narrow,,,sempit
,thick,,,tebal
,thin,,,tipis
,heavy,,,berat
,light,,,ringan
,strong,,,kuat
,kuat,,,kuat
,weak,,,lemah
,lemah,,,lemah
,powerful,,,kuat
,gentle,,,lembut
,violent,,,keras
,quiet,,,sepi
,sepi,,,sepi
,loud,,,keras
,noisy,,,berisik
,berisik,,,berisik
he,silent,,,diam
he,diam,,,diam
,speak,,,bicara
,bicara,,,bicara
,talk,,,bicara
,ngomong,,,bicara
,say,,,bilang
,bilang,,,bilang
,tell,,,cerita
,cerita,,,cerita
,story,,,cerita
,listen,,,dengar
,dengar,,,dengar
,hear,,,dengar
,see,,,lihat
,lihat,,,lihat
,look,,,lihat
,watch,,,tonton
,tonton,,,tonton
,read,,,baca
,baca,,,baca
,write,,,tulis
,tulis,,,tulis
,type,,,ketik
,ketik,,,ketik
,send,,,kirim
,kirim,,,kirim
,receive,,,terima
,terima,,,terima
can,get,,,dapat
,give,,,kasih
,kasih,,,kasih
,take,,,ambil
,ambil,,,ambil
,put,,,taruh
,taruh,,,taruh
,place,,,tempat
,tempat,,,tempat
,go,,,pergi
,pergi,,,pergi
,come,,,datang
,datang,,,datang
,arrive,,,tiba
,tiba,,,tiba
,leave,,,pergi
,stay,,,tinggal
,tinggal,,,tinggal
,live,,,hidup
,hidup,,,hidup
,die,,,mati
,mati,,,mati
,born,,,lahir
,lahir,,,lahir
,grow,,,tumbuh
,tumbuh,,,tumbuh
,change,,,ubah
,ubah,,,ubah
,ganti,,,ganti
same,same,,,sama
,different,,,beda
,similar,,,mirip
,mirip,,,mirip
,like,,,suka
,love,,,cinta
,hate,,,benci
,angry,,,marah
,happy,,,senang
,sad,,,sedih
,cry,,,nangis
,nangis,,,nangis
,laugh,,,ketawa
,smile,,,senyum
,senyum,,,senyum
i,afraid,,,takut
i,scared,,,takut
,brave,,,berani
,worry,,,khawatir
,khawatir,,,khawatir
,calm,,,tenang
,stress,,,stres
,stres,,,stres
,relax,,,santai
,tired,,,capek
,capek,,,capek
,sleep,,,tidur
,tidur,,,tidur
,wake,,,bangun
,bangun,,,bangun
will,eat,,,makan
will,makan,,,makan
,drink,,,minum
,minum,,,minum
what,hungry,,,lapar
what,lapar,,,lapar
,thirsty,,,haus
,haus,,,haus
which,full,,,kenyang
which,kenyang,,,kenyang
,empty,,,kosong
,kosong,,,kosong
mother,busy,,,sibuk
mother,sibuk,,,sibuk
,free,,,bebas
,bebas,,,bebas
,work,,,kerja
,kerja,,,kerja
,job,,,kerja
,play,,,main
,main,,,main
,game,,,permainan
,permainan,,,permainan
,fun,,,seru
,boring,,,bosan
,bosan,,,bosan
,interesting,,,menarik
,menarik,,,menarik
,important,,,penting
,penting,,,penting
,useful,,,berguna
,berguna,,,berguna
not,useless,,,tidak berguna
,help,,,bantu
,bantu,,,bantu
,tolong,,,tolong
,please,,,tolong
thank you,thanks,,,terima kasih
thank you,terima kasih,,,terima kasih
thank you,makasih,,,terima kasih
thank you,thank you,,,terima kasih
congratulations,welcome,,,selamat datang
congratulations,selamat datang,,,selamat datang
sorry,sorry,,,maaf
sorry,maaf,,,maaf
excuse me,excuse me,,,permisi
excuse me,permisi,,,permisi
,bye,,,dadah
,dadah,,,dadah
congratulations,goodbye,,,selamat tinggal
congratulations,selamat tinggal,,,selamat tinggal
congratulations,good morning,,,selamat pagi
congratulations,selamat pagi,,,selamat pagi
congratulations,good afternoon,,,selamat siang
congratulations,selamat siang,,,selamat siang
congratulations,good evening,,,selamat sore
congratulations,selamat sore,,,selamat sore
congratulations,good night,,,selamat malam
congratulations,selamat malam,,,selamat malam
,weekend,,,akhir pekan
,akhir pekan,,,akhir pekan
mother,holiday,,,liburan
mother,liburan,,,liburan
mother,vacation,,,liburan
,school,,,sekolah
,university,,,universitas
,universitas,,,universitas
,college,,,kuliah
,kuliah,,,kuliah
,student,,,siswa
,siswa,,,siswa
,teacher,,,guru
,guru,,,guru
just,lesson,,,pelajaran
just,pelajaran,,,pelajaran
,exam,,,ujian
,ujian,,,ujian
,test,,,tes
,tes,,,tes
,homework,,,pekerjaan rumah
,pr,,,pekerjaan rumah
,tugas,,,tugas
,assignment,,,tugas
,project,,,proyek
,proyek,,,proyek
what,meeting,,,rapat
what,rapat,,,rapat
,conference,,,konferensi
,konferensi,,,konferensi
,presentation,,,presentasi
,presentasi,,,presentasi
,report,,,laporan
,laporan,,,laporan
,document,,,dokumen
,dokumen,,,dokumen
,file,,,berkas
,berkas,,,berkas
,folder,,,folder
,computer,,,komputer
,komputer,,,komputer
,laptop,,,laptop
,phone,,,telepon
,telepon,,,telepon
,handphone,,,handphone
,hp,,,handphone
same,smartphone,,,smartphone
,internet,,,internet
that,website,,,situs web
that,situs web,,,situs web
,email,,,email
he,social media,,,media sosial
he,media sosial,,,media sosial
he,medsos,,,media sosial
,facebook,,,facebook
,instagram,,,instagram
,twitter,,,twitter
,whatsapp,,,whatsapp
,wa,,,whatsapp
,telegram,,,telegram
,youtube,,,youtube
,google,,,google
,search,,,cari
,cari,,,cari
,find,,,temukan
,temukan,,,temukan
,discover,,,temukan
just,explore,,,jelajahi
just,jelajahi,,,jelajahi
just,browse,,,jelajah
just,jelajah,,,jelajah
,click,,,klik
,klik,,,klik
,tap,,,ketuk
,ketuk,,,ketuk
,touch,,,sentuh
,sentuh,,,sentuh
,swipe,,,geser
,geser,,,geser
,scroll,,,gulir
,gulir,,,gulir
,zoom,,,perbesar
,perbesar,,,perbesar
,download,,,unduh
,unduh,,,unduh
,upload,,,unggah
,unggah,,,unggah
,share,,,bagikan
,bagikan,,,bagikan
,comment,,,komentar
,komentar,,,komentar
,reply,,,balas
,balas,,,balas
,follow,,,ikuti
,ikuti,,,ikuti
,unfollow,,,berhenti mengikuti
,block,,,blokir
,blokir,,,blokir
,report,,,laporkan
,laporkan,,,laporkan
,delete,,,hapus
,hapus,,,hapus
,edit,,,edit
,save,,,simpan
,simpan,,,simpan
,cancel,,,batal
,batal,,,batal
,confirm,,,konfirmasi
,konfirmasi,,,konfirmasi
,submit,,,kirim
,reset,,,reset
,refresh,,,segarkan
,segarkan,,,segarkan
,reload,,,muat ulang
,muat ulang,,,muat ulang
,update,,,perbarui
,perbarui,,,perbarui
,upgrade,,,tingkatkan
,tingkatkan,,,tingkatkan
,install,,,pasang
,pasang,,,pasang
,uninstall,,,hapus
,settings,,,pengaturan
,pengaturan,,,pengaturan
,options,,,pilihan
,pilihan,,,pilihan
,menu,,,menu
you,home,,,beranda
you,beranda,,,beranda
,profile,,,profil
,profil,,,profil
i,account,,,akun
i,akun,,,akun
,login,,,masuk
,masuk,,,masuk
,logout,,,keluar
,keluar,,,keluar
,register,,,daftar
,daftar,,,daftar
,signup,,,daftar
,password,,,kata sandi
,kata sandi,,,kata sandi
,username,,,nama pengguna
,nama pengguna,,,nama pengguna
,user,,,pengguna
,pengguna,,,pengguna
,member,,,anggota
,anggota,,,anggota
,guest,,,tamu
,tamu,,,tamu
,visitor,,,pengunjung
,pengunjung,,,pengunjung
,online,,,online
,offline,,,offline
,connected,,,terhubung
,terhubung,,,terhubung
,disconnected,,,terputus
,terputus,,,terputus
,loading,,,memuat
,memuat,,,memuat
,processing,,,memproses
,memproses,,,memproses
,complete,,,selesai
not yet,incomplete,,,belum selesai
not yet,belum selesai,,,belum selesai
,success,,,berhasil
,berhasil,,,berhasil
,failed,,,gagal
,gagal,,,gagal
,error,,,kesalahan
,kesalahan,,,kesalahan
,warning,,,peringatan
,peringatan,,,peringatan
,notice,,,pemberitahuan
